"location" "date" "time" "site" "rl" "length_m" "barnacles" "distortionr_m" "age" "magic_thaums"
"E" "29/09/2024" "14:07:00" 3 "L" 49 1 19 36 750.693695876317
"E" "29/09/2024" "14:07:00" 3 "R" 27 1 41 16 342.988844151998
"E" "29/09/2024" "14:07:00" 4 "L" 30 0 65 26 476.602384209234
"E" "29/09/2024" "14:07:00" 4 "R" 17 0 17 12 393.594633588414
"E" "29/09/2024" "14:07:00" 5 "L" 46 5 58 35 377.135697860755
"E" "29/09/2024" "14:07:00" 5 "R" 20 0 34 18 452.821729431701
"E" "29/09/2024" "14:07:00" 6 "L" 38 16 20 11 422.772537642053
"E" "29/09/2024" "14:07:00" 6 "R" 24 0 46 16 297.677844991359
"E" "29/09/2024" "14:07:00" 7 "L" 60 0 5 24 745.895849310583
"E" "29/09/2024" "14:07:00" 7 "R" 21 2 16 19 316.021643841494
"E" "29/09/2024" "14:07:00" 8 "L" 55 0 37 18 579.606136704319
"E" "29/09/2024" "14:07:00" 8 "R" 19 2 25 11 400.18412572828
"E" "29/09/2024" "14:07:00" 9 "L" 44 0 9 19 604.923637323167
"E" "29/09/2024" "14:07:00" 9 "R" 17 0 40 27 366.074918057453
"E" "29/09/2024" "14:07:00" 10 "L" 51 0 3 14 660.486818101364
"E" "29/09/2024" "14:07:00" 10 "R" 20 0 2 24 341.886407092373
"W" "29/09/2024" "14:00:00" 1 "L" 48 0 9 24 642.546589578459
"W" "29/09/2024" "14:00:00" 1 "R" 17 0 15 19 239.555775064616
"W" "29/09/2024" "14:00:00" 2 "L" 58 34 20 12 708.834315701522
"W" "29/09/2024" "14:00:00" 2 "R" 20 0 45 24 131.556471686107
"W" "29/09/2024" "14:00:00" 3 "L" 46 7 7 25 623.504186041132
"W" "29/09/2024" "14:00:00" 3 "R" 11 0 0 12 124.88653851037
"W" "29/09/2024" "14:00:00" 4 "L" 31 1 30 17 346.669450709675
