"year","strtno","pairs","agr_area","DEPLY","CYLDR","CLUTCH","prcnt_area","date"
1997,51,106.25,22.21112277,1,1,10,0.69043222,119
1997,110,212.75,22.21523187,1,1,11,0.690559951,109
1998,24,208.75,22.26425614,2,1,11,0.69208387,110
1997,41,108,22.27548056,2,1,8,0.69243278,162
1997,41,108,22.27548056,2,2,10,0.69243278,114
1997,42,110.333,22.31021902,2,1,10,0.693512625,157
1998,66,143.25,22.32382595,1,1,10,0.693935596,100
1999,51,106.25,22.33930194,1,1,10,0.694416666,112
1998,98,119.333,22.34236389,1,1,12,0.694511847,119
1999,12,192,22.36665659,2,1,14,0.695266985,105
1999,12,192,22.36665659,2,2,10,0.695266985,128
1997,43,119.5,22.38502577,1,1,11,0.695837991,119
1997,24,208.75,22.53473935,2,1,11,0.700491834,113
1997,66,143.25,22.66043896,1,1,9,0.704399203,122
1998,64,165.75,23.01784104,1,1,9,0.715509038,117
1998,12,192,23.24104057,2,1,12,0.72244719,94
1997,46,111,23.29919449,1,1,11,0.724254903,104
1997,12,192,23.34760168,2,1,11,0.72575964,108
1999,31,81.5,23.39797935,2,2,13,0.727325628,102
1998,31,81.5,23.59259568,2,2,11,0.733375272,103
1997,31,81.5,23.68314455,2,1,12,0.736189982,123
1999,30,81.5,23.76437613,2,1,10,0.738715063,128
1999,46,111,23.85984862,1,1,10,0.741682824,140
1997,30,81.5,24.06354324,2,1,9,0.748014666,142
1997,30,81.5,24.06354324,2,2,10,0.748014666,113
1999,47,101.75,24.30100758,2,1,12,0.755396239,104
1999,47,101.75,24.30100758,2,2,10,0.755396239,127
1999,109,68,24.59309699,1,1,13,0.764475832,92
1998,32,82.25,24.60214509,1,1,11,0.764757092,97
1999,95,78.5,24.69971034,2,1,9,0.767789905,140
1999,95,78.5,24.69971034,2,2,11,0.767789905,111
1999,92,64,24.8634651,1,1,11,0.772880218,101
1998,47,101.75,24.97397219,2,1,11,0.776315328,106
1998,109,68,25.16662841,1,1,13,0.782304042,99
1997,52,99.667,25.27996841,2,2,10,0.785827213,117
1998,95,78.5,25.29584463,2,1,9,0.786320725,163
1998,95,78.5,25.29584463,2,2,12,0.786320725,125
1998,92,64,25.50997498,1,1,10,0.792976962,109
1999,1,67,25.52993026,2,1,14,0.793597272,102
1999,1,67,25.52993026,2,2,8,0.793597272,131
1997,95,78.5,25.66327738,2,1,11,0.797742363,111
1999,2,67,25.76509584,2,1,12,0.800907388,100
1997,109,68,25.78902013,1,1,11,0.801651074,109
1998,1,67,26.05918137,2,1,7,0.810049029,126
1998,1,67,26.05918137,2,2,11,0.810049029,112
1998,2,67,26.39784294,2,1,11,0.820576316,101
1997,2,67,26.63225414,2,2,11,0.827862983,110
1997,6,94,27.26926202,2,2,8,0.847664357,124
